,Address,Locality,Area,Lot Size,Price,Beds,Full Baths,Half Baths
0,0 Gateway,"Rock Springs, WY 82901",,,"$725,000",,,
1,1003 Winchester Blvd.,"Rock Springs, WY 82901",,0.21 Acres,"$452,900",4 Beds,4 Full Baths,
2,600 Talladega,"Rock Springs, WY 82901",,,"$396,900",5 Beds,3 Full Baths,
3,3239 Spearhead Way,"Rock Springs, WY 82901",,"Under 1/2 Acre, ","$389,900",4 Beds,3 Full Baths,1 Half Bath
4,522 Emerald Street,"Rock Springs, WY 82901",,"Under 1/2 Acre, ","$254,000",3 Beds,3 Full Baths,
5,1302 Veteran's Drive,"Rock Springs, WY 82901",,0.27 Acres,"$252,900",4 Beds,2 Full Baths,
6,1021 Cypress Cir,"Rock Springs, WY 82901",,"Under 1/2 Acre, ","$210,000",4 Beds,3 Full Baths,
7,913 Madison Dr,"Rock Springs, WY 82901",,"Under 1/2 Acre, ","$209,000",3 Beds,2 Full Baths,
8,1344 Teton Street,"Rock Springs, WY 82901",,"Under 1/2 Acre, ","$199,900",3 Beds,2 Full Baths,
9,4 Minnies Lane,"Rock Springs, WY 82901",,2.02 Acres,"$196,900",3 Beds,2 Full Baths,
